case_id,model,setting,gold,pred,correct,requested_model,returned_model,raw_output,latency,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,attempts,error
1,glm-5.3,S4,C,C,True,glm-5.3,glm-5.3,C,10.224,604,24,20,628,1,
1,glm-5.3,S5,C,C,True,glm-5.3,glm-5.3,C,5.492,604,38,35,642,1,
1,glm-5.3,S6,C,C,True,glm-5.3,glm-5.3,C,8.161,604,3,0,607,1,
2,glm-5.3,S4,B,B,True,glm-5.3,glm-5.3,B,9.252,649,99,96,748,1,
2,glm-5.3,S5,B,B,True,glm-5.3,glm-5.3,B,4.837,649,34,31,683,1,
2,glm-5.3,S6,B,B,True,glm-5.3,glm-5.3,B,4.993,649,50,46,699,1,
3,glm-5.3,S4,C,A,False,glm-5.3,glm-5.3,A,2.955,528,3,0,531,1,
3,glm-5.3,S5,C,A,False,glm-5.3,glm-5.3,A,4.38,528,28,25,556,1,
3,glm-5.3,S6,C,C,True,glm-5.3,glm-5.3,C,4.278,528,30,26,558,1,
4,glm-5.3,S4,C,C,True,glm-5.3,glm-5.3,C,4.356,635,11,8,646,1,
4,glm-5.3,S5,C,C,True,glm-5.3,glm-5.3,C,17.174,635,22,19,657,1,
4,glm-5.3,S6,C,C,True,glm-5.3,glm-5.3,C,2.681,635,3,0,638,1,
5,glm-5.3,S4,B,B,True,glm-5.3,glm-5.3,B,3.901,597,33,29,630,1,
5,glm-5.3,S5,B,B,True,glm-5.3,glm-5.3,B,3.223,597,27,24,624,1,
5,glm-5.3,S6,B,B,True,glm-5.3,glm-5.3,B,3.821,597,50,46,647,1,
6,glm-5.3,S4,A,C,False,glm-5.3,glm-5.3,C,3.095,638,52,49,690,1,
6,glm-5.3,S5,A,C,False,glm-5.3,glm-5.3,C,9.299,638,82,79,720,1,
6,glm-5.3,S6,A,C,False,glm-5.3,glm-5.3,C,13.159,638,24,21,662,1,
7,glm-5.3,S4,A,A,True,glm-5.3,glm-5.3,A,13.465,616,3,0,619,1,
7,glm-5.3,S5,A,A,True,glm-5.3,glm-5.3,A,3.003,616,3,0,619,1,
7,glm-5.3,S6,A,A,True,glm-5.3,glm-5.3,A,5.067,616,3,0,619,1,
8,glm-5.3,S4,C,B,False,glm-5.3,glm-5.3,B,4.859,448,75,72,523,1,
8,glm-5.3,S5,C,A,False,glm-5.3,glm-5.3,A,5.514,448,23,19,471,1,
8,glm-5.3,S6,C,B,False,glm-5.3,glm-5.3,B,6.382,448,85,82,533,1,
9,glm-5.3,S4,C,C,True,glm-5.3,glm-5.3,C,2.546,684,3,0,687,1,
9,glm-5.3,S5,C,C,True,glm-5.3,glm-5.3,C,3.126,684,32,29,716,1,
9,glm-5.3,S6,C,C,True,glm-5.3,glm-5.3,C,3.401,684,26,23,710,1,
10,glm-5.3,S4,C,C,True,glm-5.3,glm-5.3,C,11.85,639,100,97,739,1,
10,glm-5.3,S5,C,A,False,glm-5.3,glm-5.3,A,6.223,639,66,63,705,1,
10,glm-5.3,S6,C,C,True,glm-5.3,glm-5.3,C,3.322,639,43,40,682,1,
11,glm-5.3,S4,A,A,True,glm-5.3,glm-5.3,A,5.308,560,107,104,667,1,
11,glm-5.3,S5,A,A,True,glm-5.3,glm-5.3,A,5.392,560,130,126,690,1,
11,glm-5.3,S6,A,B,False,glm-5.3,glm-5.3,B,6.749,560,3,0,563,1,
12,glm-5.3,S4,C,A,False,glm-5.3,glm-5.3,A,7.91,584,21,18,605,1,
12,glm-5.3,S5,C,C,True,glm-5.3,glm-5.3,C,9.999,584,72,69,656,1,
12,glm-5.3,S6,C,C,True,glm-5.3,glm-5.3,C,2.65,584,27,23,611,1,
13,glm-5.3,S4,C,C,True,glm-5.3,glm-5.3,C,7.382,541,22,19,563,1,
13,glm-5.3,S5,C,C,True,glm-5.3,glm-5.3,C,4.729,541,37,34,578,1,
13,glm-5.3,S6,C,C,True,glm-5.3,glm-5.3,C,4.294,541,28,25,569,1,
14,glm-5.3,S4,C,C,True,glm-5.3,glm-5.3,C,3.131,585,28,25,613,1,
14,glm-5.3,S5,C,C,True,glm-5.3,glm-5.3,C,3.504,585,63,60,648,1,
14,glm-5.3,S6,C,C,True,glm-5.3,glm-5.3,C,4.516,585,35,32,620,1,
15,glm-5.3,S4,C,B,False,glm-5.3,glm-5.3,B,5.423,587,3,0,590,1,
15,glm-5.3,S5,C,A,False,glm-5.3,glm-5.3,A,6.084,587,85,82,672,1,
15,glm-5.3,S6,C,B,False,glm-5.3,glm-5.3,B,7.821,587,27,23,614,1,
16,glm-5.3,S4,B,B,True,glm-5.3,glm-5.3,B,10.659,500,3,0,503,1,
16,glm-5.3,S5,B,A,False,glm-5.3,glm-5.3,A,18.79,500,3,0,503,1,
16,glm-5.3,S6,B,B,True,glm-5.3,glm-5.3,B,1.82,500,3,0,503,1,
17,glm-5.3,S4,B,B,True,glm-5.3,glm-5.3,B,4.775,605,46,42,651,1,
17,glm-5.3,S5,B,C,False,glm-5.3,glm-5.3,C,1.78,605,3,0,608,1,
17,glm-5.3,S6,B,B,True,glm-5.3,glm-5.3,B,3.829,605,32,29,637,1,
18,glm-5.3,S4,C,C,True,glm-5.3,glm-5.3,C,1.832,523,15,12,538,1,
18,glm-5.3,S5,C,C,True,glm-5.3,glm-5.3,C,2.576,523,13,10,536,1,
